# Time(min)   COO$^-$   C-O   C-H   CO$_2$
0.000e+00 2.228e-03 -9.876e-04 2.453e-04 1.828e-03
5.217e-01 1.973e-03 2.699e-04 -1.654e-04 1.631e-03
1.043e+00 3.310e-03 9.857e-04 -1.059e-04 7.404e-04
1.565e+00 7.506e-03 2.495e-03 7.880e-04 7.759e-04
2.087e+00 1.446e-02 5.653e-03 1.143e-03 9.880e-04
2.609e+00 2.348e-02 1.078e-02 1.301e-03 7.957e-04
3.130e+00 3.529e-02 1.601e-02 1.701e-03 3.705e-03
3.652e+00 4.886e-02 2.425e-02 3.085e-03 2.187e-03
4.174e+00 6.464e-02 3.447e-02 4.510e-03 8.031e-03
4.696e+00 8.183e-02 4.409e-02 5.812e-03 2.365e-02
5.217e+00 9.526e-02 5.350e-02 6.803e-03 8.748e-03
5.739e+00 1.122e-01 6.224e-02 7.622e-03 3.661e-03
6.261e+00 1.290e-01 7.186e-02 8.647e-03 3.272e-03
6.783e+00 1.461e-01 8.478e-02 1.045e-02 7.388e-03
7.304e+00 1.622e-01 9.269e-02 1.223e-02 3.613e-03
7.826e+00 1.768e-01 9.979e-02 1.157e-02 2.347e-03
8.348e+00 1.944e-01 1.091e-01 1.387e-02 2.088e-03
8.870e+00 2.067e-01 1.177e-01 1.685e-02 2.203e-03
9.391e+00 2.217e-01 1.317e-01 1.603e-02 2.661e-03
9.913e+00 2.322e-01 1.370e-01 1.818e-02 2.142e-03
1.043e+01 2.446e-01 1.463e-01 1.924e-02 1.898e-03
1.096e+01 2.587e-01 1.510e-01 1.995e-02 1.897e-03
1.148e+01 2.706e-01 1.594e-01 2.211e-02 2.000e-03
1.200e+01 2.840e-01 1.689e-01 2.133e-02 2.172e-03
1.252e+01 2.985e-01 1.786e-01 2.452e-02 2.458e-03
1.304e+01 3.084e-01 1.798e-01 2.434e-02 2.216e-03
1.357e+01 3.190e-01 1.910e-01 2.785e-02 2.341e-03
1.409e+01 3.290e-01 1.975e-01 2.463e-02 1.996e-03
1.461e+01 3.373e-01 2.061e-01 2.829e-02 1.672e-03
1.513e+01 3.501e-01 2.067e-01 2.958e-02 2.378e-03
1.565e+01 3.612e-01 2.200e-01 2.939e-02 3.166e-03
1.617e+01 3.711e-01 2.213e-01 3.051e-02 3.078e-03
1.670e+01 3.796e-01 2.300e-01 3.108e-02 3.004e-03
1.722e+01 3.891e-01 2.346e-01 3.464e-02 2.348e-03
1.774e+01 3.970e-01 2.435e-01 3.394e-02 2.048e-03
1.826e+01 4.086e-01 2.493e-01 3.570e-02 2.042e-03
1.878e+01 4.224e-01 2.603e-01 3.564e-02 2.145e-03
1.930e+01 4.248e-01 2.589e-01 3.727e-02 2.555e-03
1.983e+01 4.334e-01 2.678e-01 3.870e-02 3.007e-03
2.035e+01 4.404e-01 2.803e-01 4.001e-02 3.366e-03
2.087e+01 4.505e-01 2.810e-01 4.353e-02 3.290e-03
2.139e+01 4.574e-01 2.857e-01 4.462e-02 2.731e-03
2.191e+01 4.625e-01 2.925e-01 4.458e-02 2.475e-03
2.244e+01 4.763e-01 2.993e-01 4.474e-02 2.331e-03
2.296e+01 4.830e-01 3.034e-01 4.339e-02 1.818e-03
2.348e+01 4.876e-01 3.113e-01 4.888e-02 1.802e-03
2.400e+01 4.963e-01 3.196e-01 4.669e-02 1.655e-03
2.452e+01 5.032e-01 3.263e-01 4.836e-02 1.484e-03
2.504e+01 5.135e-01 3.274e-01 4.900e-02 1.288e-03
2.557e+01 5.153e-01 3.354e-01 5.457e-02 1.661e-03
2.609e+01 5.220e-01 3.412e-01 5.304e-02 1.349e-03
2.661e+01 5.339e-01 3.503e-01 5.359e-02 1.298e-03
2.713e+01 5.424e-01 3.556e-01 5.740e-02 1.660e-03
2.765e+01 5.451e-01 3.655e-01 5.575e-02 1.497e-03
2.817e+01 5.497e-01 3.694e-01 5.817e-02 1.517e-03
2.870e+01 5.624e-01 3.659e-01 5.717e-02 1.678e-03
2.922e+01 5.703e-01 3.701e-01 5.930e-02 1.718e-03
2.974e+01 5.734e-01 3.835e-01 6.088e-02 1.875e-03
3.026e+01 5.765e-01 3.882e-01 6.245e-02 2.205e-03
3.078e+01 5.917e-01 3.936e-01 6.326e-02 8.836e-03
3.130e+01 5.940e-01 3.929e-01 6.309e-02 1.022e-02
3.183e+01 5.984e-01 3.993e-01 6.385e-02 3.854e-03
3.235e+01 6.021e-01 3.984e-01 6.423e-02 2.620e-03
3.287e+01 6.155e-01 4.109e-01 6.906e-02 2.394e-03
3.339e+01 6.216e-01 4.163e-01 6.798e-02 3.508e-03
3.391e+01 6.271e-01 4.177e-01 6.706e-02 5.301e-03
3.444e+01 6.220e-01 4.151e-01 6.889e-02 6.013e-03
3.496e+01 6.322e-01 4.294e-01 6.820e-02 6.388e-03
3.548e+01 6.346e-01 4.305e-01 7.001e-02 7.258e-03
3.600e+01 6.527e-01 4.342e-01 7.059e-02 9.325e-03
3.652e+01 6.559e-01 4.370e-01 7.059e-02 1.186e-02
3.704e+01 6.594e-01 4.494e-01 7.276e-02 1.907e-02
3.757e+01 6.688e-01 4.366e-01 7.492e-02 2.021e-02
3.809e+01 6.687e-01 4.557e-01 7.634e-02 1.837e-02
3.861e+01 6.785e-01 4.483e-01 7.611e-02 2.590e-02
3.913e+01 6.896e-01 4.569e-01 7.478e-02 2.336e-02
3.965e+01 6.794e-01 4.671e-01 7.383e-02 1.813e-02
4.017e+01 6.976e-01 4.573e-01 7.428e-02 1.617e-02
4.070e+01 6.940e-01 4.486e-01 8.013e-02 1.555e-02
4.122e+01 6.951e-01 4.622e-01 7.547e-02 1.457e-02
4.174e+01 7.010e-01 4.787e-01 8.098e-02 1.352e-02
4.226e+01 6.982e-01 4.658e-01 7.962e-02 1.338e-02
4.278e+01 7.058e-01 4.703e-01 7.680e-02 1.242e-02
4.331e+01 7.164e-01 4.752e-01 8.216e-02 1.267e-02
4.383e+01 7.145e-01 4.760e-01 8.001e-02 1.303e-02
4.435e+01 7.160e-01 4.787e-01 8.030e-02 1.228e-02
4.487e+01 7.312e-01 4.891e-01 8.316e-02 1.242e-02
4.539e+01 7.251e-01 4.901e-01 8.270e-02 1.250e-02
4.591e+01 7.325e-01 4.930e-01 8.359e-02 1.267e-02
4.644e+01 7.388e-01 4.988e-01 8.441e-02 1.205e-02
4.696e+01 7.377e-01 4.925e-01 8.328e-02 1.160e-02
4.748e+01 7.490e-01 4.971e-01 8.436e-02 1.065e-02
4.800e+01 7.406e-01 5.015e-01 8.338e-02 1.066e-02
4.852e+01 7.489e-01 4.982e-01 8.648e-02 9.723e-03
4.904e+01 7.590e-01 5.056e-01 8.718e-02 1.007e-02
4.957e+01 7.549e-01 5.076e-01 8.363e-02 9.813e-03
5.009e+01 7.637e-01 5.072e-01 8.553e-02 9.431e-03
5.061e+01 7.614e-01 5.248e-01 8.709e-02 9.790e-03
5.113e+01 7.596e-01 5.147e-01 8.727e-02 1.004e-02
5.165e+01 7.693e-01 5.240e-01 8.855e-02 9.913e-03
5.217e+01 7.772e-01 5.245e-01 9.047e-02 1.024e-02
5.270e+01 7.825e-01 5.265e-01 9.040e-02 1.065e-02
5.322e+01 7.857e-01 5.341e-01 9.228e-02 9.917e-03
5.374e+01 7.873e-01 5.359e-01 9.225e-02 1.029e-02
5.426e+01 7.936e-01 5.354e-01 8.830e-02 1.107e-02
5.478e+01 7.995e-01 5.417e-01 9.418e-02 1.005e-02
5.531e+01 7.940e-01 5.436e-01 9.326e-02 9.610e-03
5.583e+01 7.934e-01 5.348e-01 9.227e-02 9.032e-03
5.635e+01 8.022e-01 5.408e-01 9.144e-02 8.882e-03
5.687e+01 8.056e-01 5.400e-01 9.352e-02 9.120e-03
5.739e+01 8.057e-01 5.461e-01 9.612e-02 8.586e-03
5.791e+01 8.004e-01 5.512e-01 9.263e-02 1.075e-02
5.844e+01 8.096e-01 5.531e-01 9.266e-02 9.748e-03
5.896e+01 8.182e-01 5.466e-01 1.004e-01 1.110e-02
5.948e+01 8.196e-01 5.464e-01 9.636e-02 9.995e-03
6.000e+01 8.350e-01 5.630e-01 9.368e-02 1.382e-02
6.052e+01 8.431e-01 5.285e-01 9.370e-02 2.726e-02
6.104e+01 8.473e-01 4.992e-01 8.642e-02 1.885e-02
6.157e+01 8.498e-01 4.978e-01 8.566e-02 1.723e-02
6.209e+01 8.571e-01 4.772e-01 7.916e-02 1.656e-02
6.261e+01 8.575e-01 4.709e-01 7.644e-02 1.221e-02
6.313e+01 8.615e-01 4.733e-01 7.339e-02 1.067e-02
6.365e+01 8.589e-01 4.517e-01 7.246e-02 8.507e-03
6.418e+01 8.553e-01 4.490e-01 7.017e-02 7.352e-03
6.470e+01 8.665e-01 4.486e-01 7.219e-02 7.069e-03
6.522e+01 8.524e-01 4.440e-01 6.812e-02 6.804e-03
6.574e+01 8.617e-01 4.332e-01 6.986e-02 6.570e-03
6.626e+01 8.580e-01 4.374e-01 6.635e-02 6.576e-03
6.678e+01 8.571e-01 4.299e-01 6.507e-02 6.414e-03
6.731e+01 8.656e-01 4.195e-01 6.551e-02 6.338e-03
6.783e+01 8.649e-01 4.228e-01 6.608e-02 6.159e-03
6.835e+01 8.691e-01 4.209e-01 6.486e-02 1.154e-02
6.887e+01 8.716e-01 4.091e-01 6.475e-02 7.508e-03
6.939e+01 8.704e-01 4.177e-01 6.141e-02 6.621e-03
6.991e+01 8.649e-01 4.132e-01 5.996e-02 6.126e-03
7.044e+01 8.683e-01 4.085e-01 6.308e-02 6.044e-03
